"No.","Time","Source","Destination","Protocol","Length","Info","Window"
"609","4.932502","130.192.1.34","192.168.1.122","TCP","1318","443  >  64177 [ACK] Seq=734719 Ack=734 Win=31360 Len=1264 [TCP segment of a reassembled PDU]","245"
"610","4.932502","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=735983 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"611","4.932502","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"612","4.932502","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=738903 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"613","4.932502","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=740363 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"614","4.932502","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"615","4.932502","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=743283 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"616","4.932502","130.192.1.34","192.168.1.122","TCP","250","443  >  64177 [ACK] Seq=744743 Ack=734 Win=31360 Len=196 [TCP segment of a reassembled PDU]","245"
"617","4.932502","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"618","4.932502","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=746399 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"619","4.932502","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=747859 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"620","4.932502","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"621","4.932502","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=750779 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"622","4.932502","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=752239 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"623","4.932502","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"624","4.932502","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=755159 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"625","4.932502","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=756619 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"626","4.932502","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"627","4.932502","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=759539 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"628","4.932502","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=760999 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"629","4.932502","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"630","4.932502","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=763919 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"631","4.933640","192.168.1.122","130.192.1.34","TCP","54","64177  >  443 [ACK] Seq=734 Ack=765379 Win=550400 Len=0","2150"
"632","4.934384","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"633","4.934384","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=766839 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"634","4.934384","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=768299 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"635","4.934384","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"636","4.934384","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=771219 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"637","4.934384","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=772679 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"638","4.934384","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"639","4.934384","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=775599 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"640","4.934744","192.168.1.122","130.192.1.34","TCP","54","64177  >  443 [ACK] Seq=734 Ack=777059 Win=538624 Len=0","2104"
"641","4.934935","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=777059 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"642","4.935098","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"643","4.935098","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=779979 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"644","4.935098","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=781439 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"645","4.935251","192.168.1.122","130.192.1.34","TCP","54","64177  >  443 [ACK] Seq=734 Ack=782899 Win=532736 Len=0","2081"
"646","4.935391","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"647","4.935582","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=784359 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"648","4.935654","192.168.1.122","130.192.1.34","TCP","54","64177  >  443 [ACK] Seq=734 Ack=785819 Win=529920 Len=0","2070"
"649","4.936104","192.168.1.122","130.192.1.34","TCP","54","[TCP Window Update] 64177  >  443 [ACK] Seq=734 Ack=785819 Win=533248 Len=0","2083"
"650","4.936809","192.168.1.122","130.192.1.34","TCP","54","[TCP Window Update] 64177  >  443 [ACK] Seq=734 Ack=785819 Win=794112 Len=0","3102"
"651","4.937293","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"652","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=787279 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"653","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=788739 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"654","4.937293","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"655","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=791659 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"656","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=793119 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"657","4.937293","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"658","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=796039 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"659","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=797499 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"660","4.937293","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"661","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=800419 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"662","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=801879 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"663","4.937293","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"664","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=804799 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"665","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=806259 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"666","4.937293","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"667","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=809179 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"668","4.937293","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"669","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=812099 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"670","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=813559 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"671","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=815019 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"672","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=816479 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"673","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=817939 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"674","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=819399 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"675","4.937293","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=820859 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"676","4.938238","192.168.1.122","130.192.1.34","TCP","54","64177  >  443 [ACK] Seq=734 Ack=822319 Win=757504 Len=0","2959"
"677","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=822319 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"678","4.941159","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"679","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=825239 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"680","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=826699 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"681","4.941159","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"682","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=829619 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"683","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=831079 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"684","4.941159","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"685","4.941159","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=833999 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"686","4.941159","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
