"No.","Time","Source","Destination","Protocol","Length","Info","Window"
"6806","2.970526","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9315474 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6807","2.971133","192.168.1.122","130.192.1.34","TCP","54","64189  >  443 [ACK] Seq=735 Ack=9316934 Win=862464 Len=0","3369"
"6808","2.971405","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6809","2.971405","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9318394 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6810","2.971405","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9319854 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6811","2.971405","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6812","2.971405","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9322774 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6813","2.971405","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6814","2.971405","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9325694 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6815","2.971405","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9327154 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6816","2.971405","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6817","2.971405","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9330074 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6818","2.971405","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9331534 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6819","2.971405","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6820","2.971405","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9334454 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6821","2.971405","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9335914 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6822","2.971405","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6823","2.971405","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9338834 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6824","2.971716","192.168.1.122","130.192.1.34","TCP","54","64189  >  443 [ACK] Seq=735 Ack=9340294 Win=838912 Len=0","3277"
"6825","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9340294 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6826","2.972476","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6827","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9343214 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6828","2.972476","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6829","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9346134 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6830","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9347594 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6831","2.972476","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6832","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9350514 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6833","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9351974 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6834","2.972476","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6835","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9354894 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6836","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9356354 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6837","2.972476","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6838","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9359274 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6839","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9360734 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6840","2.972476","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6841","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9363654 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6842","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9365114 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6843","2.972476","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6844","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9368034 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6845","2.972476","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6846","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9370954 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6847","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9372414 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6848","2.972476","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6849","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9375334 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6850","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9376794 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6851","2.972476","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"6852","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9379714 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"6853","2.972476","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9381174 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
